,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,City country,City datetime
0,severo-kurilsk,50.68,156.12,52.21,87,95,14.83,RU,1595970734
1,warrington,53.39,-2.58,60.8,72,20,11.41,GB,1595970469
2,lata,40.16,-8.33,64.99,94,0,2.3,PT,1595970734
3,sao gabriel da cachoeira,-0.13,-67.09,81.59,92,100,1.14,BR,1595970734
4,srandakan,-7.94,110.25,73.87,83,69,6.69,ID,1595970734
5,kampene,-3.6,26.67,70.86,36,0,0.4,CD,1595970735
6,havre-saint-pierre,50.23,-63.6,66.2,72,75,10.29,CA,1595970463
7,atuona,-9.8,-139.03,80.01,71,4,25.21,PF,1595970735
8,punta arenas,-53.15,-70.92,41.0,56,30,18.34,CL,1595970662
9,bethel,41.37,-73.41,89.01,58,75,8.05,US,1595970735
10,kouango,4.99,19.96,71.53,92,100,1.07,CF,1595970735
11,deputatskiy,69.3,139.9,42.08,72,80,9.6,RU,1595970735
12,kimbe,-5.55,150.14,76.5,86,29,3.69,PG,1595970736
13,kaitangata,-46.28,169.85,50.0,60,57,1.99,NZ,1595970736
14,ushuaia,-54.8,-68.3,35.6,94,75,34.45,AR,1595970686
15,miles city,46.41,-105.84,93.2,18,1,6.93,US,1595970736
16,saint-francois,46.42,3.91,69.8,56,9,3.36,FR,1595970736
17,katsuura,35.13,140.3,73.0,94,75,9.17,JP,1595970736
18,butaritari,3.07,172.79,79.32,88,100,11.48,KI,1595970737
19,karratha,-20.74,116.85,66.07,28,0,7.81,AU,1595970737
20,klaksvik,62.23,-6.59,46.4,93,100,26.4,FO,1595970737
21,port alfred,-33.59,26.89,60.84,74,2,8.75,ZA,1595970737
22,bluff,-46.6,168.33,46.0,83,79,3.0,NZ,1595970737
23,lerwick,60.15,-1.15,55.4,100,100,10.29,GB,1595970738
24,chuy,-33.7,-53.46,45.09,74,1,6.35,UY,1595970694
25,new norfolk,-42.78,147.06,41.0,92,100,3.02,AU,1595970738
26,teya,60.38,92.63,51.4,78,40,1.25,RU,1595970738
27,ulundi,-28.34,31.42,54.36,71,0,3.51,ZA,1595970738
28,lucapa,-8.42,20.74,68.45,32,0,3.24,AO,1595970738
29,grand gaube,-20.01,57.66,69.01,80,20,3.0,MU,1595970738
30,hobart,-42.88,147.33,42.8,81,75,9.17,AU,1595970687
31,honningsvag,70.98,25.97,57.2,87,57,1.12,NO,1595970739
32,mataura,-46.19,168.86,46.0,83,52,3.0,NZ,1595970739
